id,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults
19219,0.49286136,0.001280396,0.003154654,0.00023197554,0.017723104,0.172772,0.34166795
19220,0.25262877,0.01993284,0.008738388,0.00035199488,0.1601803,0.17501193,0.33679676
19221,0.0019501453,0.041743677,0.0386537,0.00055102166,0.00617814,0.3124419,0.4795621
19222,0.17569351,0.0017733587,0.0006960498,0.0012603903,0.011141728,0.37693536,0.4227936
19223,0.0025288549,0.0018873295,0.0008202408,0.0030419307,0.0071408283,0.61283565,0.3767513
19224,0.07477804,0.28041184,0.0030856277,0.00024299967,0.016311359,0.13868582,0.31100947
19225,0.38240883,0.001243692,0.0026715775,0.00023387634,0.02648078,0.06962573,0.5245468
19226,0.012743683,0.29375076,0.003988251,0.0076463693,0.03682496,0.22917497,0.4589405
19227,0.0009721484,0.27599907,0.2235676,0.0016282302,0.0050477367,0.15562397,0.36318293
19228,0.29587895,0.014328462,0.0011654927,0.00025901917,0.003715178,0.21396205,0.45877272
19229,0.0013913222,0.025746064,0.00080337905,0.00232042,0.024120554,0.32795802,0.4513277
19230,0.0006290172,0.0012257741,0.9410598,0.00024717939,0.0004688263,0.001720403,0.05107645
19231,0.0006294235,0.0010591839,0.9607587,0.00026421165,0.00046422498,0.0017158466,0.04106909
19232,0.071714856,0.011738984,0.0010636694,0.00024989544,0.025695473,0.108670205,0.6321181
19233,0.0030425712,0.008932119,0.0009123559,0.0033169815,0.013193196,0.45729348,0.42045978
19234,0.0014085391,0.024563603,0.00088451523,0.0015785333,0.007042389,0.44907033,0.4716784
19235,0.04067825,0.0034512118,0.0007086222,0.0007582819,0.0027768156,0.6507171,0.21645156
19236,0.06433775,0.026152903,0.044711042,0.0005523978,0.10751658,0.22101602,0.4416669
19237,0.1373473,0.0010397953,0.00073771743,0.0013248533,0.0036940898,0.5882709,0.22338866
19238,0.0010526236,0.5203172,0.001062237,0.0021077122,0.0037453726,0.25114682,0.32028908
19239,0.0008503684,0.0010696882,0.92001486,0.00027711186,0.00060097355,0.0023040618,0.067494184
19240,0.13116302,0.0011619166,0.0011460537,0.0010243781,0.035889573,0.18187137,0.5938897
19241,0.0033537943,0.0023637086,0.0015487272,0.001330711,0.013215831,0.4357915,0.4816098
19242,0.002896767,0.0005459826,0.941915,0.0002720319,0.0007579142,0.0013630651,0.05164396
19243,0.036354147,0.5382011,0.0043419595,0.0004257902,0.010110005,0.16538003,0.3759811
19244,0.00062877533,0.0011161562,0.95554847,0.00025397763,0.00046881154,0.0015298862,0.04400274
19245,0.15334289,0.026084224,0.000933928,0.00023201712,0.0069608116,0.17642564,0.51489156
19246,0.33033508,0.02526189,0.0027963093,0.00051494135,0.024373557,0.14688107,0.37273654
19247,0.0070421523,0.31772882,0.026466928,0.00024909023,0.007447255,0.2721024,0.3316758
19248,0.0013140973,0.0032257056,0.82915276,0.00032840608,0.00085406844,0.00854049,0.124225765
19249,0.016373362,0.011288883,0.0006622959,0.00043947808,0.0015950562,0.50113326,0.43423787
19250,0.0050387904,0.0034258463,0.0024158268,0.8095052,0.013459921,0.021275766,0.30587924
19251,0.06873109,0.0012263691,0.0009143288,0.002618646,0.0059160697,0.6295192,0.30110815
19252,0.008271633,0.18866067,0.00093503343,0.00074625545,0.0024584795,0.47715163,0.24706388
19253,0.008419269,0.0013194223,0.6815948,0.0029005695,0.006287587,0.09647777,0.30721483
19254,0.0012452228,0.04985591,0.0012120306,0.0013712524,0.011324272,0.30175525,0.58415985
19255,0.3691205,0.0007221705,0.0014669745,0.00035377013,0.005613828,0.17218769,0.47700837
19256,0.0106088985,0.7733667,0.0006082159,0.00094181247,0.0036638773,0.104247525,0.30300024
19257,0.08339134,0.01848924,0.012839018,0.0007527439,0.10570932,0.24509685,0.3855877
19258,0.39241388,0.005576005,0.0007150607,0.0003805038,0.0020078963,0.19508572,0.46192983
19259,0.0007199459,0.0010065818,0.96601015,0.00024992952,0.00044531346,0.001605842,0.03571869
19260,0.017925452,0.13908643,0.0015858505,0.00047537967,0.016940916,0.30046722,0.39352918
19261,0.07562545,0.0059010517,0.61054283,0.00028376185,0.010465802,0.026922008,0.20384377
19262,0.22498454,0.02651473,0.0010584404,0.00029920615,0.015448945,0.2534282,0.3264856
19263,0.0597618,0.0045623854,0.000712466,0.00092292164,0.007860149,0.41325065,0.36456454
19264,0.020580595,0.0029401192,0.0008426527,0.0011870328,0.005392472,0.61886865,0.34783942
19265,0.04008569,0.004735032,0.0006349319,0.0029439726,0.00992894,0.4768529,0.46772915
19266,0.00063106784,0.0013934684,0.8663406,0.0002467127,0.00048000846,0.0019250482,0.10075584
19267,0.12772219,0.004843766,0.00056249514,0.0008475831,0.055335682,0.28311577,0.34538975
